URLLength,DomainLength,TLD_known,CharContinuationRate,TLDLegitimateProb,URLCharProb,NoOfSubDomain,url_has_ip,url_has_shortener,url_suspicious_tld,url_dash_count,url_underscore_count,url_subdomain_count,url_path_depth,url_query_length,url_has_secure_words,url_has_banking_words,domain_entropy,domain_vowel_ratio,domain_digit_ratio,domain_has_brand_words,domain_consecutive_consonants,domain_typo_indicators,label
40,32,1,0.607142857,0.5229071,0.035013849,1,0,0,0,2,0,1,1,0,0,0,4.054229297,0.1875,0.375,0,4,0,0
24,17,1,1,0.5229071,0.062644799,1,0,0,0,0,0,1,0,0,0,0,3.4548224,0.352941176,0,0,3,0,1
35,26,1,0.590909091,0.5229071,0.047810565,1,0,0,0,0,0,1,1,0,0,0,4.16197818,0.307692308,0.076923077,0,2,0,0
23,16,1,0.777777778,0.028555,0.065006937,2,0,0,0,0,0,2,0,0,0,0,3.280639062,0.375,0,0,3,0,1
32,25,1,1,0.5229071,0.068597251,1,0,0,0,0,0,1,0,0,0,0,3.532878689,0.32,0,0,3,0,1
19,13,1,1,0.5229071,0.064809075,1,0,0,0,0,0,1,0,0,0,0,2.81507241,0.307692308,0,0,3,0,0
19,12,0,1,0.0129268,0.05131194,1,0,0,0,0,0,1,0,0,0,0,2.855388542,0.25,0,0,3,0,1
27,21,1,1,0.5229071,0.061914384,1,0,0,0,0,0,1,0,0,0,0,3.784941827,0.285714286,0,0,3,0,0
27,21,0,0.583333333,0.0006227,0.039958523,2,0,0,0,0,0,2,0,0,0,0,3.463280518,0.19047619,0,0,3,0,0
32,24,0,0.6,0.001502,0.050001333,1,0,0,0,1,0,1,1,0,0,0,3.688721876,0.25,0.083333333,0,3,0,0
24,17,1,1,0.5229071,0.058978238,1,0,0,0,0,0,1,0,0,0,0,3.572469459,0.294117647,0,0,3,0,1
29,22,0,1,0.0141483,0.061103084,1,0,0,0,0,0,1,0,0,0,0,3.390805482,0.227272727,0,0,3,0,1
41,33,0,0.482758621,0.001502,0.05160881,1,0,0,0,3,0,1,1,0,0,0,4.028946392,0.272727273,0.090909091,0,3,0,0
140,23,1,1,0.5229071,0.037272312,0,0,0,0,2,4,0,4,97,0,0,3.344456935,0.391304348,0,0,2,0,0
27,20,1,1,0.5229071,0.06627117,1,0,0,0,0,0,1,0,0,0,0,3.48418372,0.3,0,0,3,0,1
27,20,1,0.769230769,0.0100856,0.060261303,2,0,0,0,0,0,2,0,0,0,0,3.30869497,0.35,0,0,3,0,1
24,17,1,1,0.5229071,0.062492995,1,0,0,0,0,0,1,0,0,0,0,3.381580488,0.235294118,0,0,3,0,1
22,16,0,1,0.0001604,0.062467929,1,0,0,0,0,0,1,0,0,0,0,3.327819531,0.3125,0,0,3,0,0
34,26,0,0.826086957,0.0129268,0.04598469,1,0,0,0,1,0,1,1,0,0,0,3.979097891,0.307692308,0.230769231,0,3,0,0
24,17,1,1,0.5229071,0.074052865,1,0,0,0,0,0,1,0,0,0,0,3.057476076,0.294117647,0,0,3,0,1
32,23,1,1,0.5229071,0.062301654,0,0,0,0,0,0,0,1,0,0,0,3.551191174,0.434782609,0,0,3,0,0
25,18,1,1,0.5229071,0.063532013,1,0,0,0,0,0,1,0,0,0,0,3.46132014,0.277777778,0,0,3,0,1
24,18,1,1,0.5229071,0.065133791,1,0,0,0,0,0,1,0,0,0,0,3.572431251,0.277777778,0,0,3,0,0
19,12,0,1,0.0180132,0.048096855,1,0,0,0,0,0,1,0,0,0,0,2.688721876,0.166666667,0,0,3,0,1
26,19,1,1,0.5229071,0.064599296,1,0,0,0,0,0,1,0,0,0,0,3.471354487,0.263157895,0,0,3,0,1
36,12,0,1,0.0001819,0.042140183,0,0,0,0,0,0,0,2,0,0,0,3.251629167,0.416666667,0,0,2,0,0
21,14,1,1,0.0799628,0.058046018,1,0,0,1,0,0,1,0,0,0,0,3.324862958,0.142857143,0,0,3,0,1
30,22,0,0.444444444,0.001502,0.040628727,1,0,0,0,1,0,1,1,0,0,0,3.697845823,0.227272727,0.045454545,0,3,0,0
30,24,1,1,0.5229071,0.060811307,1,0,0,0,0,0,1,0,0,0,0,3.438721876,0.25,0,0,3,0,0
35,28,0,0.857142857,0.0094423,0.057284654,2,0,0,0,0,0,2,0,0,0,0,3.79790269,0.25,0,0,4,0,1
25,18,1,1,0.5229071,0.070239275,1,0,1,0,0,0,1,0,0,0,0,3.46132014,0.277777778,0,0,3,0,1
17,10,0,1,0.0015361,0.033447415,1,0,0,0,0,0,1,0,0,0,0,2.446439345,0,0,0,3,0,1
24,17,1,1,0.5229071,0.071746922,1,0,0,0,0,0,1,0,0,0,0,3.337175341,0.294117647,0,0,3,0,1
25,18,1,1,0.0799628,0.069403421,1,0,0,0,0,0,1,0,0,0,0,3.350209029,0.277777778,0,0,3,0,1
25,18,1,1,0.0059772,0.057415787,1,0,0,0,0,0,1,0,0,0,0,3.46132014,0.333333333,0,0,3,0,1
20,13,0,1,0.0005524,0.048970194,1,0,0,0,0,0,1,0,0,0,0,2.719294526,0.153846154,0,0,3,0,1
30,24,1,0.5625,0.0799628,0.051875492,2,0,0,0,0,0,2,0,0,0,0,3.740601563,0.208333333,0,0,5,0,0
23,17,1,1,0.5229071,0.057462154,1,0,0,0,0,0,1,0,0,0,0,3.337175341,0.176470588,0,0,4,0,0
22,15,1,1,0.5229071,0.065891816,1,0,0,0,0,0,1,0,0,0,0,2.973557262,0.266666667,0,0,3,0,1
20,14,1,1,0.0326503,0.061197443,1,0,0,0,0,0,1,0,0,0,0,2.753434386,0.285714286,0,0,3,0,0
26,20,0,0.923076923,0.0180132,0.014753016,2,0,0,0,0,0,2,0,0,0,0,3.646439345,0.05,0.35,0,4,0,0
26,17,0,0.769230769,0.001502,0.047984494,1,0,0,0,0,0,1,1,0,0,0,3.292770194,0.294117647,0,0,3,0,0
28,21,1,1,0.5229071,0.064890904,1,0,0,0,0,0,1,0,0,0,0,3.499227542,0.238095238,0,0,4,0,1
34,27,1,1,0.0101825,0.069115313,1,0,0,0,0,0,1,0,0,0,0,3.457867131,0.333333333,0,0,3,0,1
23,16,1,1,0.5229071,0.050478879,1,0,0,0,0,0,1,0,0,0,0,3.577819531,0.1875,0.0625,0,3,0,1
92,16,1,0.916666667,0.5229071,0.025063426,1,0,0,0,0,1,2,3,0,0,0,3.202819531,0.3125,0.0625,1,2,0,0
34,27,1,1,0.5229071,0.061070397,1,0,0,0,0,0,1,0,0,0,0,3.661932872,0.259259259,0,0,3,0,1
26,19,1,1,0.5229071,0.058311271,1,0,0,0,0,0,1,0,0,0,0,3.576617645,0.315789474,0,0,3,0,1
36,28,1,0.541666667,0.5229071,0.056885502,1,0,0,0,0,0,1,1,0,0,0,3.940759833,0.357142857,0.035714286,0,3,0,0
26,19,1,1,0.5229071,0.069816862,1,0,0,0,0,0,1,0,0,0,0,3.050301855,0.210526316,0,0,3,0,1
15,8,0,1,0.0017496,0.034559565,0,0,0,0,0,0,0,1,0,0,0,3,0.125,0,0,3,0,0
51,45,1,0.297297297,0.5229071,0.05639785,3,0,0,0,3,0,3,0,0,0,0,4.047548242,0.288888889,0.022222222,0,3,0,0
27,20,1,1,0.0799628,0.060847774,1,0,0,0,0,0,1,0,0,0,0,3.58418372,0.25,0,0,3,0,1
19,12,1,1,0.5229071,0.062819271,1,0,0,0,0,0,1,0,0,0,0,2.688721876,0.166666667,0,0,3,0,1
31,24,1,1,0.5229071,0.063778944,1,0,0,0,0,0,1,0,0,0,0,3.538320189,0.333333333,0,0,4,0,1
34,25,1,0.80952381,0.5229071,0.044095497,1,0,0,0,1,0,1,1,0,0,0,4.02346519,0.24,0.24,0,4,0,0
22,15,1,0.625,0.0100856,0.062284949,2,0,0,0,0,0,2,0,0,0,0,3.139572262,0.2,0,0,4,0,1
19,12,0,1,0.0009815,0.03684609,1,0,0,0,0,0,1,0,0,0,0,2.522055209,0.166666667,0,0,3,0,1
25,18,0,1,0.0069695,0.045474226,1,0,0,0,0,0,1,0,0,0,0,3.239097918,0.166666667,0,0,3,0,1
64,25,0,0.6,0.0006227,0.028541331,1,0,0,0,0,0,1,2,19,0,0,3.97366069,0.2,0.04,0,5,0,0
55,47,1,0.227272727,0.0059772,0.036352669,2,0,0,0,4,0,2,0,0,0,0,4.021842043,0.234042553,0.382978723,0,2,0,0
24,17,0,1,0.0022943,0.057883109,1,0,0,0,0,0,1,0,0,0,0,3.337175341,0.176470588,0,0,3,0,1
24,17,1,1,0.5229071,0.062169499,1,0,0,0,0,0,1,0,0,0,0,3.4548224,0.235294118,0,0,3,0,1
28,21,1,1,0.0799628,0.067909274,1,0,0,0,0,0,1,0,0,0,0,3.463280518,0.333333333,0,0,3,0,1
34,27,1,1,0.5229071,0.063779783,1,0,0,0,0,0,1,0,0,0,0,3.856196298,0.333333333,0,0,4,0,1
27,20,0,0.538461538,0.0141483,0.055437841,2,0,0,0,1,0,2,0,0,0,0,3.546439345,0.2,0,0,3,0,1
40,33,1,1,0.5229071,0.065534568,1,0,0,0,0,0,1,0,0,0,0,3.945464952,0.363636364,0,0,3,0,1
28,21,1,1,0.5229071,0.067312522,1,0,0,0,0,0,1,0,0,0,0,3.558518613,0.333333333,0,0,3,0,1
54,46,0,0.214285714,0.0009613,0.056210107,2,0,0,0,3,0,2,1,0,0,0,4.129236619,0.326086957,0,0,3,0,0
42,34,1,0.566666667,0.5229071,0.04904495,1,0,0,0,2,0,1,1,0,0,0,4.113362386,0.294117647,0.176470588,0,4,0,0
18,11,1,1,0.5229071,0.064067302,1,0,0,0,0,0,1,0,0,0,0,2.845350937,0.181818182,0,0,3,0,1
26,20,0,0.923076923,0.0180132,0.019862182,2,0,0,0,0,0,2,0,0,0,0,3.646439345,0.1,0.35,0,4,0,0
45,37,0,0.909090909,0.001502,0.024818844,1,0,0,0,0,0,1,1,0,0,0,4.208924987,0.162162162,0.513513514,0,2,0,0
30,23,1,1,0.5229071,0.058409715,1,0,0,0,0,0,1,0,0,0,0,3.849223912,0.260869565,0,0,4,0,1
33,26,1,0.684210526,0.0100856,0.056433177,3,0,0,0,0,0,3,0,0,0,0,3.565448372,0.307692308,0,0,3,0,1
25,18,1,1,0.0326503,0.056799213,1,0,0,0,0,0,1,0,0,0,0,3.197159723,0.222222222,0,0,3,0,1
48,39,1,0.666666667,0.0059772,0.065147399,2,0,0,0,0,0,2,1,0,0,0,3.628243489,0.358974359,0,0,3,0,0
19,13,0,1,0.0002256,0.058236006,1,0,0,1,0,0,1,0,0,0,0,3.026986833,0.307692308,0,0,3,0,0
20,13,0,0.666666667,0.0230451,0.043406417,2,0,0,0,0,0,2,0,0,0,0,2.968918564,0.076923077,0,0,3,0,1
24,17,1,0.666666667,0.0115013,0.057033392,2,0,0,0,0,0,2,0,0,0,0,3.292770194,0.352941176,0,0,3,0,1
20,13,1,1,0.5229071,0.059480699,1,0,1,0,0,0,1,0,0,0,0,3.180832987,0.153846154,0,0,3,0,1
34,27,1,1,0.5229071,0.071742472,1,0,0,0,0,0,1,0,0,0,0,3.60601528,0.407407407,0,0,3,0,1
26,17,1,0.692307692,0.5229071,0.052526197,1,0,0,0,0,0,1,1,0,0,0,3.852168724,0.235294118,0,0,5,0,0
28,21,0,1,0.0003175,0.063425606,1,0,0,0,0,0,1,0,0,0,0,3.558518613,0.333333333,0,0,3,0,1
22,15,1,1,0.0799628,0.064879171,1,0,0,0,0,0,1,0,0,0,0,3.189898095,0.2,0,0,3,0,1
26,19,1,1,0.5229071,0.063101078,1,0,1,0,0,0,1,0,0,0,0,3.471354487,0.263157895,0,0,3,0,1
26,19,1,1,0.5229071,0.066779325,1,0,0,0,0,0,1,0,0,0,0,3.326360408,0.315789474,0,0,3,0,1
31,24,1,0.4375,0.5229071,0.062485378,1,0,0,0,2,0,1,0,0,0,0,3.40726823,0.25,0,0,3,0,1
36,27,1,0.565217391,0.5229071,0.052693704,1,0,0,0,2,0,1,1,0,0,0,3.986187965,0.296296296,0.037037037,0,2,0,0
71,39,1,0.35483871,0.5229071,0.04952595,5,0,0,0,1,1,6,3,0,0,0,4.060416642,0.153846154,0.025641026,0,4,0,0
21,14,1,1,0.0326503,0.066450657,1,0,0,0,0,0,1,0,0,0,0,3.039148672,0.285714286,0,0,3,0,1
47,41,0,0.235294118,0.0003477,0.026887608,1,0,0,0,0,0,1,0,0,0,0,3.924505968,0.12195122,0.414634146,0,3,0,0
30,23,1,1,0.5229071,0.061643425,1,0,0,0,0,0,1,0,0,0,0,3.795088586,0.304347826,0,0,3,0,1
20,13,0,0.444444444,0,0.001223339,2,1,0,0,0,0,2,1,0,0,0,2.661226256,0,0.769230769,0,0,0,0
88,7,0,1,0.0129268,0.03505375,0,0,0,0,0,0,0,3,0,0,0,2.521640636,0.428571429,0,0,3,0,0
30,23,1,1,0.0326503,0.057121325,1,0,0,0,0,0,1,0,0,0,0,3.414441304,0.260869565,0,0,3,0,1
22,15,1,0.571428571,0.0115013,0.065031175,2,0,0,0,0,0,2,0,0,0,0,3.139572262,0.2,0,0,3,0,1
21,15,1,1,0.5229071,0.06755089,1,0,0,0,0,0,1,0,0,0,0,3.323231429,0.2,0,0,4,0,0
24,17,1,1,0.5229071,0.061359744,1,0,0,0,0,0,1,0,0,0,0,3.4548224,0.294117647,0,0,3,0,1
20,13,1,1,0.5229071,0.054583442,1,0,0,0,0,0,1,0,0,0,0,2.719294526,0.153846154,0.153846154,0,3,0,1
45,39,1,0.35483871,0.5229071,0.056327796,3,0,0,0,3,0,3,0,0,0,0,4.057855989,0.282051282,0.025641026,0,3,0,0
21,14,1,0.571428571,0.028555,0.053115594,2,0,0,0,0,0,2,0,0,0,0,2.842370993,0.214285714,0,0,3,0,1
30,23,1,1,0.5229071,0.068315649,1,0,0,0,0,0,1,0,0,0,0,3.501397825,0.304347826,0,0,3,0,1
34,27,1,1,0.5229071,0.060245422,1,0,0,0,0,0,1,0,0,0,0,3.754163428,0.296296296,0,0,4,0,1
20,13,1,1,0.0326503,0.040287863,1,0,0,0,0,0,1,0,0,0,0,2.623516641,0.153846154,0,0,4,0,1
29,23,1,1,0.5229071,0.064862982,1,0,1,0,0,0,1,0,0,0,0,3.435755434,0.217391304,0,0,4,0,0
21,15,0,1,0.0001858,0.054668153,1,0,0,1,0,0,1,0,0,0,0,3.106890596,0.133333333,0,0,3,0,0
17,10,0,1,0.0004547,0.017022556,1,0,0,0,0,0,1,0,0,0,0,2.646439345,0,0.3,0,3,0,1
23,16,0,1,0.0001048,0.056187587,1,0,0,1,0,0,1,0,0,0,0,3.452819531,0.25,0,0,3,0,1
30,23,1,0.625,0.0326503,0.053477176,1,0,0,0,1,0,1,0,0,0,0,3.066615217,0.304347826,0,0,3,0,1
46,39,1,1,0.0799628,0.066483893,1,0,0,0,0,0,1,0,0,0,0,3.769519771,0.384615385,0,0,4,0,1
25,18,0,1,0.0082003,0.051314723,1,0,0,0,0,0,1,0,0,0,0,3.46132014,0.166666667,0,0,3,0,1
35,26,1,0.590909091,0.5229071,0.048629496,1,0,0,0,0,0,1,1,0,0,0,4.026986833,0.307692308,0.076923077,0,3,0,0
35,28,1,1,0.5229071,0.063511868,1,0,0,0,0,0,1,0,0,0,0,3.597558387,0.321428571,0,0,3,0,1
35,28,1,0.5,0.5229071,0.065068594,1,0,0,0,2,0,1,0,0,0,0,3.79790269,0.357142857,0,0,3,0,1
45,28,0,0.28,0.0036375,0.051346268,1,0,0,0,2,0,2,1,0,0,0,3.869331261,0.25,0,0,4,0,0
30,23,1,1,0.0384199,0.064422792,1,0,0,0,0,0,1,0,0,0,0,3.588354347,0.347826087,0,0,3,0,1
43,34,1,0.6,0.5229071,0.059985542,1,0,0,0,1,0,1,1,0,0,0,3.969815782,0.411764706,0,0,2,0,0
23,16,1,0.625,0.0115013,0.060653031,2,0,0,0,0,0,2,0,0,0,0,3.155639062,0.3125,0,0,3,0,1
37,31,0,0.863636364,0.0002548,0.050371716,1,0,0,0,2,0,1,0,0,0,0,3.953565665,0.290322581,0.129032258,0,3,0,0
20,13,1,1,0.0799628,0.063697057,1,0,0,0,0,0,1,0,0,0,0,2.87314068,0.307692308,0,0,3,0,1
24,17,0,1,0.0023239,0.061301406,1,0,0,0,0,0,1,0,0,0,0,3.337175341,0.294117647,0,0,3,0,1
32,25,0,0.833333333,0.0094423,0.061808105,2,0,0,0,0,0,2,0,0,0,0,3.643074189,0.24,0,0,4,0,1
29,22,0,0.533333333,0.0014653,0.069546984,2,0,0,0,1,0,2,0,0,0,0,3.322179346,0.363636364,0,0,3,0,1
47,41,0,0.264705882,0.0003477,0.020334595,1,0,0,0,0,0,1,0,0,0,0,3.79075125,0.097560976,0.512195122,0,3,0,0
22,15,1,1,0.5229071,0.076037047,1,0,0,0,0,0,1,0,0,0,0,2.872905595,0.333333333,0,0,3,0,1
23,17,0,1,0.0001858,0.040425608,1,0,0,1,0,0,1,0,0,0,0,3.381580488,0.235294118,0,0,3,0,0
26,19,0,0.75,0.0017218,0.065653355,2,0,0,0,0,0,2,0,0,0,0,3.326360408,0.263157895,0,0,3,0,1
22,15,0,0.666666667,0.0002355,0.064677774,1,0,0,0,1,0,1,0,0,0,0,2.872905595,0.333333333,0,0,3,0,1
77,25,0,0.5,0.0180132,0.056989683,2,0,0,0,0,0,3,5,0,1,0,3.78346519,0.28,0.08,0,3,0,0
21,14,1,1,0.5229071,0.058382725,1,0,0,0,0,0,1,0,0,0,0,3.039148672,0.214285714,0,0,4,0,1
25,18,0,1,0.0003212,0.058490239,1,0,0,0,0,0,1,0,0,0,0,3.419381946,0.277777778,0,0,3,0,1
27,20,1,1,0.5229071,0.055469139,1,0,0,0,0,0,1,0,0,0,0,3.88418372,0.2,0,0,4,0,1
23,17,0,1,0.0001858,0.062814806,1,0,0,1,0,0,1,0,0,0,0,3.292770194,0.235294118,0,0,3,0,0
26,19,1,1,0.5229071,0.06233847,1,0,0,0,0,0,1,0,0,0,0,3.260828171,0.368421053,0,0,3,0,1
98,26,1,0.590909091,0.0384199,0.045335591,0,0,0,0,1,0,0,2,56,0,0,3.454040797,0.461538462,0,0,2,0,0
26,19,0,1,0.0141483,0.064760075,1,0,0,0,0,0,1,0,0,0,0,3.366091329,0.315789474,0,0,3,0,1
38,31,1,1,0.5229071,0.059879769,1,0,0,0,0,0,1,0,0,0,0,3.695501149,0.290322581,0,0,5,0,1
39,32,1,1,0.5229071,0.059137082,1,0,0,0,0,0,1,0,0,0,0,3.777518266,0.25,0,0,4,0,1
27,20,1,1,0.5229071,0.062070551,1,0,0,0,0,0,1,0,0,0,0,3.78418372,0.3,0,0,3,0,1
19,12,0,1,0.0014653,0.053423702,1,0,0,0,0,0,1,0,0,0,0,3.022055209,0.25,0,0,3,0,1
28,22,1,0.611111111,0.0799628,0.051978489,1,0,0,0,0,0,1,0,0,0,0,3.754441846,0.181818182,0,0,6,0,0
25,18,1,1,0.5229071,0.074663503,1,0,0,0,0,0,1,0,0,0,0,3.197159723,0.333333333,0,0,3,0,1
30,23,0,1,0.0082003,0.053215869,1,0,0,0,0,0,1,0,0,0,0,3.642489673,0.260869565,0,0,3,0,1
31,24,1,0.4375,0.5229071,0.053092883,1,0,0,0,2,0,1,0,0,0,0,3.668295834,0.25,0,1,3,0,1
20,13,0,0.666666667,0.0019933,0.076658631,2,0,0,0,0,0,2,0,0,0,0,2.603157987,0.153846154,0,0,3,0,1
30,23,0,1,0.0001069,0.06417545,1,0,0,0,0,0,1,0,0,0,0,3.621175543,0.434782609,0,0,3,0,1
23,16,0,1,0.0002548,0.054130147,1,0,0,0,0,0,1,0,0,0,0,3.280639062,0.3125,0,0,3,0,1
29,22,0,0.8,6.08E-05,0.060330773,2,0,0,0,0,0,2,0,0,0,0,3.356492414,0.318181818,0,0,3,0,1
22,15,1,1,0.0799628,0.059766578,1,0,0,0,0,0,1,0,0,0,0,2.872905595,0.333333333,0,0,3,0,1
31,24,1,0.625,0.0799628,0.060297592,1,0,0,0,1,0,1,0,0,0,0,3.720175521,0.25,0,0,3,0,1
20,13,1,1,0.0799628,0.058571081,1,0,0,0,0,0,1,0,0,0,0,3.180832987,0.153846154,0,0,4,0,1
24,17,1,1,0.0326503,0.054307626,1,0,0,0,0,0,1,0,0,0,0,3.4548224,0.352941176,0,0,3,0,1
33,25,1,0.80952381,0.5229071,0.044014391,1,0,0,0,1,0,1,1,0,0,0,4.18346519,0.24,0.24,0,4,0,0
30,23,0,0.875,0.0019933,0.065186719,2,0,0,0,0,0,2,0,0,0,0,3.642489673,0.260869565,0,0,3,0,1
33,26,1,1,0.5229071,0.063444615,1,0,0,0,0,0,1,0,0,0,0,3.796217603,0.307692308,0,0,3,0,1
29,22,1,1,0.5229071,0.069572626,1,0,0,0,0,0,1,0,0,0,0,3.481714573,0.318181818,0,0,3,0,1
24,17,1,0.555555556,0.0799628,0.069624891,1,0,0,0,1,0,1,0,0,0,0,3.175123135,0.235294118,0,0,3,0,1
30,23,1,1,0.5229071,0.064075127,1,0,0,0,0,0,1,0,0,0,0,3.675310869,0.304347826,0,0,3,0,1
25,18,1,0.818181818,0.028555,0.055642237,2,0,0,0,0,0,2,0,0,0,0,3.641604168,0.222222222,0.055555556,0,3,0,1
27,20,1,1,0.5229071,0.066898846,1,0,0,0,0,0,1,0,0,0,0,3.446439345,0.25,0,0,3,0,1
31,23,0,0.526315789,0.001502,0.057849216,1,0,0,0,1,0,1,1,0,0,0,3.708132065,0.347826087,0,0,2,0,0
32,25,1,1,0.0384199,0.060530096,1,0,0,0,0,0,1,0,0,0,0,3.75326969,0.36,0,0,3,0,1
24,17,1,0.8,0.028555,0.06317411,2,0,0,0,0,0,2,0,0,0,0,3.410417253,0.294117647,0,0,3,0,1
25,18,1,1,0.0101825,0.062872535,1,0,0,0,0,0,1,0,0,0,0,3.308270835,0.333333333,0,0,3,0,1
25,18,1,0.727272727,0.0100856,0.066957378,2,0,0,0,0,0,2,0,0,0,0,3.308270835,0.333333333,0,0,3,0,1
31,25,1,0.470588235,0.0799628,0.058998283,2,0,0,0,1,0,2,0,0,0,0,3.67326969,0.16,0,0,4,0,0
27,20,0,0.846153846,0.0230451,0.053199965,2,0,0,0,0,0,2,0,0,0,0,3.30869497,0.25,0,0,3,0,1
24,17,0,0.7,0.0019933,0.06228813,2,0,0,0,0,0,2,0,0,0,0,3.292770194,0.176470588,0,0,3,0,1
23,16,1,1,0.5229071,0.058543573,1,0,0,0,0,0,1,0,0,0,0,3.327819531,0.25,0,0,3,0,1
27,20,0,1,0.0027596,0.052936489,1,0,0,0,0,0,1,0,0,0,0,3.68418372,0.3,0,0,3,0,1
23,16,1,0.625,0.5229071,0.051959848,1,0,0,0,1,0,1,0,0,0,0,3.280639062,0.1875,0,0,3,0,1
29,22,0,0.4,0.0230451,0.046509561,2,0,0,0,1,0,2,0,0,0,0,3.572623664,0.272727273,0,0,3,0,1
27,20,1,1,0.5229071,0.058644706,1,0,0,0,0,0,1,0,0,0,0,3.170950594,0.2,0,0,4,0,1
30,23,1,1,0.0384199,0.063767167,1,0,0,0,0,0,1,0,0,0,0,3.381620108,0.304347826,0,0,3,0,1
27,20,1,1,0.5229071,0.06352436,1,0,0,0,0,0,1,0,0,0,0,3.58418372,0.3,0,0,5,0,1
