IsHTTPS,is_https,HasFavicon,has_favicon,Robots,is_responsive,domain_typo_indicators,has_robots_txt,has_description,form_complexity,external_resource_ratio,HasTitle,DomainTitleMatchScore,URLTitleMatchScore,label
1,1,0,0,0,1,0,0,0,0,0.363636364,1,100.0,100.0,1
0,0,0,0,0,1,0,0,0,0,0.5,1,100.0,100.0,0
0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0,0
1,1,0,0,0,1,0,0,0,0,0.5,1,0.0,0.0,0
1,1,0,0,0,1,0,0,1,2,0.581102362,1,100.0,100.0,1
1,1,0,0,0,0,0,0,1,3,0.799435028,1,100.0,100.0,1
1,1,0,0,0,1,0,0,0,0,1.0,1,0.0,0.0,0
1,1,0,0,0,0,0,0,0,0,0.0,1,0.0,100.0,0
1,1,1,1,0,1,0,0,1,0,0.5,1,100.0,100.0,1
1,1,1,1,1,1,0,1,0,2,0.502994012,1,0.0,0.0,1
1,1,0,0,0,0,0,0,0,0,0.235294118,1,100.0,100.0,1
0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0
1,1,0,0,0,0,0,0,0,0,1.0,1,0.0,0.0,0
1,1,1,1,0,1,0,0,1,3,0.223463687,1,100.0,100.0,1
1,1,0,0,0,0,0,0,0,0,0.0,1,100.0,100.0,0
1,1,1,1,0,0,0,0,0,1,0.322916667,1,100.0,100.0,1
0,0,0,0,0,0,0,0,0,0,0.0,1,100.0,100.0,0
1,1,1,1,0,1,0,0,1,0,0.39055794,1,0.0,0.0,1
1,1,0,0,1,1,0,1,1,3,0.508536585,1,100.0,100.0,1
1,1,0,0,1,1,0,1,0,2,0.5,1,0.0,95.23809524,0
1,1,0,0,0,0,0,0,0,0,0.909090909,1,100.0,100.0,1
1,1,0,0,0,0,0,0,0,0,1.0,1,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0
1,1,0,0,0,1,0,0,1,0,0.333333333,1,0.0,0.0,1
1,1,0,0,1,1,0,1,1,2,0.525663717,1,100.0,100.0,1
1,1,0,0,1,1,0,1,1,0,0.526490066,1,0.0,0.0,1
1,1,1,1,0,1,0,0,1,1,0.503759398,1,77.77777778,77.77777778,1
1,1,0,0,0,1,0,0,1,2,0.413793103,1,0.0,0.0,1
1,1,1,1,0,1,0,0,1,0,0.522352941,1,0.0,0.0,1
1,1,0,0,0,1,0,0,1,0,0.505142857,1,100.0,100.0,1
0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0
1,1,1,1,0,1,0,0,1,2,0.11025641,1,100.0,100.0,1
0,0,0,0,0,0,0,0,0,0,1.0,1,100.0,100.0,0
0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0,0
1,1,0,0,0,0,0,0,0,0,1.0,1,0.0,0.0,0
1,1,1,1,0,1,0,0,1,0,0.403361345,1,100.0,100.0,1
1,1,0,0,1,1,0,1,1,1,0.556666667,1,0.0,0.0,1
1,1,1,1,0,1,0,0,1,0,0.501727713,1,100.0,100.0,1
1,1,0,0,0,0,0,0,0,0,0.0,0,0.0,1.298701299,0
1,1,1,1,0,1,0,0,1,1,0.537142857,1,100.0,100.0,1
1,1,0,0,0,0,0,0,0,3,0.586206897,1,100.0,100.0,1
1,1,0,0,0,1,0,0,0,0,1.0,0,0.0,0.0,0
1,1,1,1,0,1,0,0,1,1,0.131868132,1,100.0,100.0,1
0,0,0,0,0,0,0,0,0,0,0.0,1,100.0,100.0,0
0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0
1,1,1,1,0,1,0,0,1,2,0.198198198,1,100.0,100.0,1
1,1,1,1,0,1,0,0,1,3,0.115853659,1,100.0,100.0,1
1,1,1,1,0,0,0,0,0,1,0.504672897,1,100.0,100.0,1
1,1,0,0,0,0,0,0,0,0,1.0,1,0.0,0.0,0
1,1,1,1,0,1,0,0,0,2,0.032163743,1,0.0,0.0,1
1,1,0,0,1,1,0,1,0,1,0.537037037,1,100.0,100.0,1
1,1,1,1,0,1,0,0,1,0,0.14893617,1,0.0,0.0,1
0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2.0,0
1,1,0,0,0,1,0,0,0,0,0.0,1,0.0,0.0,0
1,1,1,1,1,1,0,1,1,1,0.212765957,1,0.0,0.0,1
1,1,0,0,0,1,0,0,1,1,0.240740741,1,100.0,100.0,1
1,1,0,0,0,1,0,0,0,2,0.402366864,1,100.0,100.0,1
1,1,1,1,1,1,0,1,1,2,0.504761905,1,100.0,100.0,1
1,1,1,1,1,1,0,1,1,1,0.864864865,1,0.0,0.0,1
1,1,0,0,0,1,0,0,0,0,1.0,1,0.0,0.0,1
1,1,0,0,0,1,0,0,1,2,0.02617801,1,100.0,100.0,1
1,1,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0
1,1,0,0,0,0,0,0,0,0,1.0,1,0.0,0.0,0
1,1,1,1,0,1,0,0,1,1,0.075,1,100.0,100.0,1
0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0,0
1,1,0,0,0,1,0,0,0,0,1.0,1,0.0,0.0,0
1,1,1,1,0,1,0,0,1,1,0.597826087,1,100.0,100.0,1
1,1,1,1,1,1,0,1,1,2,0.507281553,1,0.0,0.0,1
1,1,1,1,1,1,0,1,1,1,0.453551913,1,0.0,0.0,1
1,1,0,0,0,0,0,0,0,0,1.0,1,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0.0,1,100.0,100.0,0
1,1,1,1,0,0,0,0,0,0,0.142857143,1,0.0,0.0,1
1,1,0,0,0,0,0,0,0,2,0.828571429,1,0.0,0.0,1
1,1,0,0,0,0,0,0,1,0,0.272727273,1,100.0,100.0,1
1,1,1,1,0,1,0,0,1,2,0.980769231,1,100.0,100.0,1
1,1,0,0,1,1,0,1,0,0,0.0,1,0.0,0.0,0
1,1,1,1,0,1,0,0,1,2,0.205357143,1,100.0,100.0,1
1,1,1,1,1,1,0,1,0,1,0.575418994,1,100.0,100.0,1
1,1,0,0,0,0,0,0,1,0,0.615384615,1,100.0,100.0,1
1,1,0,0,0,1,0,0,1,3,0.342723005,1,100.0,100.0,1
1,1,0,0,1,1,0,1,1,1,0.495327103,1,0.0,0.0,1
1,1,0,0,0,1,0,0,0,1,0.0,1,0.0,0.0,0
1,1,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0
1,1,0,0,0,0,0,0,0,2,0.666666667,1,100.0,100.0,1
0,0,0,0,0,1,0,0,0,0,1.0,1,100.0,100.0,0
1,1,1,1,0,1,0,0,1,1,0.222222222,1,100.0,100.0,1
0,0,1,1,0,1,0,0,0,0,0.0,0,0.0,0.0,0
1,1,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0
1,1,0,0,0,1,0,0,1,1,0.35,1,0.0,0.0,1
1,1,0,0,0,1,0,0,1,1,0.513761468,1,0.0,0.0,1
0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0
1,1,1,1,0,1,0,0,1,2,0.405063291,1,100.0,100.0,1
1,1,1,1,0,0,0,0,1,3,0.146341463,1,100.0,100.0,1
0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0
1,1,1,1,0,1,0,0,1,2,0.35483871,1,0.0,0.0,1
1,1,1,1,0,1,0,0,0,0,0.185185185,1,0.0,0.0,1
1,1,1,1,1,1,0,1,1,0,0.05952381,1,100.0,100.0,1
1,1,1,1,1,1,0,1,1,0,0.275956284,1,83.33333333,83.33333333,1
0,0,0,0,0,0,0,0,0,0,0.0,1,86.66666667,86.66666667,0
0,0,0,0,0,0,0,0,0,0,0.0,1,100.0,100.0,0
1,1,1,1,0,1,0,0,1,1,0.502487562,1,66.66666667,66.66666667,1
1,1,1,1,0,1,0,0,0,0,0.923664122,1,100.0,100.0,1
1,1,0,0,1,1,0,1,1,1,0.50310559,1,0.0,0.0,1
1,1,0,0,0,1,0,0,1,0,0.3125,1,100.0,100.0,1
1,1,1,1,1,1,0,1,1,0,0.948186528,1,100.0,100.0,1
1,1,0,0,0,1,0,0,0,0,1.0,1,0.0,0.0,0
1,1,0,0,0,1,0,0,0,2,0.306569343,1,100.0,100.0,1
1,1,1,1,1,0,0,1,1,3,0.031531532,1,0.0,0.0,1
0,0,0,0,0,1,0,0,0,0,0.666666667,1,0.0,0.0,0
1,1,1,1,0,1,0,0,0,0,0.097560976,1,100.0,100.0,1
1,1,0,0,0,0,0,0,0,0,1.0,1,0.0,0.0,0
1,1,1,1,0,1,0,0,1,0,0.382352941,1,0.0,0.0,1
0,0,0,0,0,0,0,0,0,0,0.0,0,4.545454545,4.545454545,0
1,1,1,1,1,1,0,1,1,2,0.476683938,1,100.0,100.0,1
1,1,1,1,0,1,0,0,1,2,0.195652174,1,100.0,100.0,1
1,1,1,1,0,0,0,0,1,1,0.20754717,1,0.0,0.0,1
1,1,0,0,1,1,0,1,1,0,1.0,1,0.0,0.0,1
0,0,0,0,0,1,0,0,0,0,1.0,1,100.0,100.0,0
1,1,1,1,1,1,0,1,1,2,0.529761905,1,71.42857143,71.42857143,1
0,0,0,0,0,0,0,0,0,0,0.0,1,100.0,100.0,0
1,1,1,1,0,1,0,0,0,1,0.25862069,1,0.0,0.0,1
1,1,0,0,0,1,0,0,1,1,0.504672897,1,100.0,100.0,1
0,0,1,1,1,1,0,1,0,3,0.0,1,0.0,0.0,0
1,1,1,1,1,0,0,1,1,1,0.553571429,1,100.0,100.0,1
1,1,0,0,0,1,0,0,1,3,0.327731092,1,100.0,100.0,1
1,1,1,1,0,1,0,0,1,1,0.267605634,1,100.0,100.0,1
0,0,0,0,0,0,0,0,0,0,0.0,1,100.0,100.0,0
1,1,1,1,0,1,0,0,1,3,0.178217822,1,100.0,100.0,1
1,1,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0
1,1,1,1,1,1,0,1,1,2,0.568807339,1,100.0,100.0,1
1,1,0,0,0,1,0,0,1,3,0.744525547,1,100.0,100.0,1
1,1,0,0,1,1,0,1,1,2,0.398148148,1,100.0,100.0,1
1,1,0,0,1,0,0,1,0,2,0.125,1,0.0,0.0,1
1,1,0,0,0,1,0,0,0,1,0.545454545,1,100.0,100.0,1
0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0
1,1,0,0,1,1,0,1,0,3,0.45,1,100.0,100.0,1
1,1,0,0,0,1,0,0,1,0,0.6,1,0.0,0.0,1
1,1,0,0,1,1,0,1,1,2,0.522727273,1,100.0,100.0,1
1,1,1,1,0,1,0,0,1,2,0.036866359,1,0.0,0.0,1
1,1,0,0,0,1,0,0,0,0,0.342778793,1,100.0,100.0,1
1,1,0,0,1,1,0,1,1,1,0.548780488,1,100.0,100.0,1
1,1,1,1,0,1,0,0,0,2,0.06504065,1,0.0,0.0,1
1,1,0,0,0,1,0,0,0,3,0.282051282,1,100.0,100.0,1
1,1,1,1,1,1,0,1,1,2,0.06043956,1,100.0,100.0,1
1,1,1,1,0,1,0,0,0,1,0.241666667,1,100.0,100.0,1
1,1,1,1,1,1,0,1,1,1,0.165048544,1,100.0,100.0,1
1,1,0,0,0,0,0,0,0,0,1.0,1,0.0,0.0,0
1,1,1,1,0,1,0,0,0,1,0.166666667,1,0.0,0.0,1
1,1,1,1,0,0,0,0,0,2,0.536964981,1,100.0,100.0,1
1,1,0,0,0,1,0,0,1,1,0.544554455,1,100.0,100.0,1
1,1,0,0,1,1,0,1,1,2,0.551532033,1,100.0,100.0,1
1,1,1,1,0,1,0,0,1,2,0.181818182,1,100.0,100.0,1
1,1,1,1,1,1,0,1,1,3,0.491467577,1,0.0,0.0,1
1,1,1,1,0,1,0,0,1,0,0.0,1,100.0,100.0,1
1,1,0,0,0,1,0,0,0,0,1.0,1,0.0,0.0,0
1,1,1,1,0,0,0,0,1,0,0.833333333,1,100.0,100.0,1
1,1,0,0,0,1,0,0,1,0,0.027777778,1,0.0,0.0,1
1,1,1,1,0,1,0,0,0,0,0.146341463,1,100.0,100.0,1
1,1,1,1,1,0,0,1,1,2,0.033036849,1,0.0,0.0,1
0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0
1,1,0,0,0,1,0,0,1,0,0.510204082,1,0.0,0.0,1
1,1,1,1,1,1,0,1,0,2,0.522255193,1,0.0,0.0,1
1,1,1,1,0,0,0,0,1,1,0.875,1,100.0,100.0,1
1,1,1,1,0,1,0,0,1,3,0.499753816,1,100.0,100.0,1
1,1,1,1,1,0,0,1,1,2,0.31884058,1,100.0,100.0,1
1,1,1,1,0,1,0,0,1,0,0.434782609,1,0.0,0.0,1
1,1,0,0,0,1,0,0,1,0,0.522123894,1,100.0,100.0,1
1,1,1,1,1,1,0,1,1,0,0.009569378,1,100.0,100.0,1
1,1,1,1,1,1,0,1,1,2,0.183673469,1,100.0,100.0,1
1,1,1,1,1,1,0,1,1,2,0.506410256,1,100.0,100.0,1
1,1,0,0,0,1,0,0,1,0,0.535714286,1,100.0,100.0,1
1,1,0,0,1,1,0,1,0,0,0.535849057,1,100.0,100.0,1
1,1,0,0,0,0,0,0,0,0,1.0,1,0.0,0.0,0
1,1,0,0,1,1,0,1,0,2,0.5,1,0.0,98.33333333,0
1,1,1,1,0,1,0,0,1,2,0.071428571,1,100.0,100.0,1
1,1,0,0,0,1,0,0,1,2,0.49726776,1,100.0,100.0,1
1,1,0,0,0,0,0,0,1,0,1.0,1,100.0,100.0,1
0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0,0
1,1,0,0,0,1,0,0,0,2,0.31884058,1,100.0,100.0,1
1,1,0,0,0,0,0,0,1,0,0.393939394,1,100.0,100.0,1
1,1,1,1,1,1,0,1,1,0,0.562962963,1,100.0,100.0,1
1,1,0,0,1,1,0,1,0,2,0.532818533,1,100.0,100.0,1
1,1,1,1,1,1,0,1,1,1,0.510204082,1,100.0,100.0,1
1,1,1,1,1,1,0,1,1,3,0.52173913,1,100.0,100.0,1
1,1,1,1,0,1,0,0,1,1,0.123222749,1,100.0,100.0,1
1,1,1,1,0,1,0,0,1,1,0.101449275,1,0.0,0.0,1
1,1,0,0,0,1,0,0,1,3,0.530434783,1,100.0,100.0,1
1,1,0,0,1,0,0,1,1,1,0.557522124,1,100.0,100.0,1
0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0,0
1,1,1,1,0,1,0,0,0,2,0.45,1,100.0,100.0,1
1,1,1,1,0,1,0,0,1,0,0.125,1,0.0,0.0,1
1,1,1,1,0,1,0,0,0,2,0.109090909,1,80.0,80.0,1
1,1,0,0,0,1,0,0,1,1,0.366197183,1,100.0,100.0,1
0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0
0,0,0,0,0,1,0,0,0,0,0.0,1,100.0,100.0,0
0,0,0,0,0,0,0,0,0,0,0.6,1,0.0,0.0,0
1,1,1,1,1,1,0,1,1,0,0.956521739,1,0.0,0.0,1
1,1,0,0,0,1,0,0,1,1,0.786516854,1,100.0,100.0,1
0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0
1,1,0,0,0,1,0,0,0,1,0.6,1,0.0,0.0,1
1,1,1,1,1,1,0,1,1,2,0.509375,1,0.0,0.0,1
1,1,1,1,0,0,0,0,0,1,0.567010309,1,100.0,100.0,1
1,1,1,1,1,1,0,1,1,1,0.515021459,1,100.0,100.0,1
0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0
1,1,0,0,0,1,0,0,0,0,1.0,1,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0,0
1,1,0,0,0,0,0,0,0,0,0.0,1,0.0,100.0,0
1,1,0,0,0,1,0,0,0,0,1.0,1,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0.5,1,100.0,100.0,0
1,1,1,1,1,1,0,1,1,2,0.526462396,1,100.0,100.0,1
1,1,1,1,0,1,0,0,0,0,1.0,1,0.0,100.0,0
1,1,1,1,0,1,0,0,1,2,0.083769634,1,100.0,100.0,1
1,1,0,0,0,1,0,0,1,2,0.188498403,1,100.0,100.0,1
0,0,0,0,0,0,0,0,0,0,0.5,1,0.0,0.0,0
1,1,1,1,1,1,0,1,1,2,0.538181818,1,100.0,100.0,1
1,1,0,0,1,1,0,1,1,2,0.529976019,1,100.0,100.0,1
1,1,1,1,1,1,0,1,1,0,0.941176471,1,100.0,100.0,1
1,1,0,0,0,0,0,0,0,0,0.5,1,0.0,100.0,0
1,1,1,1,1,1,0,1,1,1,0.482978723,1,100.0,100.0,1
1,1,1,1,0,1,0,0,1,2,0.1640625,1,84.61538462,84.61538462,1
0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0,0
1,1,1,1,1,0,0,1,1,2,0.525622255,1,100.0,100.0,1
1,1,0,0,1,1,0,1,0,1,0.551282051,1,100.0,100.0,1
1,1,0,0,1,1,0,1,1,2,0.506451613,1,0.0,0.0,1
1,1,0,0,1,1,0,1,1,2,0.538135593,1,100.0,100.0,1
1,1,0,0,1,1,0,1,0,1,0.505405405,1,0.0,0.0,1
0,0,0,0,0,0,0,0,0,0,0.0,1,100.0,100.0,0
1,1,1,1,0,1,0,0,0,0,0.6,1,100.0,100.0,1
0,0,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,0
1,1,1,1,1,1,0,1,1,2,0.123809524,1,100.0,100.0,1
1,1,0,0,0,0,0,0,0,0,1.0,1,0.0,0.0,0
1,1,0,0,1,1,0,1,0,2,0.575539568,1,100.0,100.0,1
0,0,0,0,0,0,0,0,1,0,1.0,1,100.0,100.0,0
1,1,0,0,0,1,0,0,1,1,0.175438596,1,100.0,100.0,1
1,1,1,1,0,1,0,0,1,3,0.188976378,1,0.0,0.0,1
1,1,0,0,0,1,0,0,0,0,1.0,1,0.0,0.0,0
1,1,1,1,0,1,0,0,1,2,0.202898551,1,0.0,0.0,1
0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0
1,1,1,1,0,0,0,0,1,2,0.148648649,1,0.0,0.0,1
1,1,1,1,1,0,0,1,1,0,0.411764706,1,0.0,0.0,1
1,1,0,0,0,1,0,0,0,0,0.993548387,1,100.0,100.0,1
1,1,1,1,0,1,0,0,1,0,0.857142857,1,0.0,0.0,1
1,1,0,0,1,1,0,1,1,2,0.1,1,0.0,0.0,1
1,1,1,1,0,1,0,0,0,3,0.155555556,1,100.0,100.0,1
0,0,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,0
1,1,0,0,0,1,0,0,1,2,0.233576642,1,0.0,0.0,1
0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0
1,1,0,0,0,0,0,0,0,0,0.0,0,0.0,0.99009901,0
1,1,1,1,0,1,0,0,0,0,0.19047619,1,0.0,0.0,1
1,1,1,1,1,1,0,1,1,0,0.234432234,1,100.0,100.0,1
1,1,1,1,0,1,0,0,1,0,0.366666667,1,100.0,100.0,1
1,1,1,1,1,0,0,1,0,0,1.0,1,0.0,100.0,0
0,0,0,0,0,1,0,0,0,0,0.0,0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0
1,1,1,1,0,1,0,0,1,2,0.552763819,1,100.0,100.0,1
1,1,1,1,0,1,0,0,0,0,1.0,1,100.0,100.0,0
1,1,1,1,0,1,0,0,1,2,0.528301887,1,100.0,100.0,1
1,1,1,1,0,1,0,0,1,3,0.086956522,1,100.0,100.0,1
0,0,0,0,0,0,0,0,0,0,1.0,1,100.0,100.0,0
1,1,1,1,1,1,0,1,0,3,1.0,1,0.0,0.0,0
1,1,0,0,0,1,0,0,1,0,0.465408805,1,100.0,100.0,1
1,1,1,1,0,1,0,0,1,0,0.611111111,1,100.0,100.0,1
1,1,1,1,0,1,0,0,1,2,0.1640625,1,90.90909091,90.90909091,1
1,1,1,1,0,1,0,0,1,2,0.085106383,1,100.0,100.0,1
1,1,0,0,1,1,0,1,1,2,0.514450867,1,100.0,100.0,1
1,1,0,0,0,1,0,0,0,1,0.527777778,1,100.0,100.0,1
0,0,0,0,0,0,0,0,0,0,0.5,1,0.0,100.0,0
0,0,0,0,0,0,0,0,0,0,0.0,1,100.0,100.0,0
0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0
1,1,0,0,1,1,0,1,1,1,0.083094556,1,100.0,100.0,1
1,1,1,1,1,1,0,1,1,2,0.478908189,1,100.0,100.0,1
1,1,1,1,0,0,0,0,1,0,0.0,1,0.0,0.0,0
1,1,0,0,0,0,0,0,0,0,1.0,1,0.0,0.0,0
1,1,1,1,0,1,0,0,1,0,0.455357143,1,100.0,100.0,1
1,1,0,0,0,0,0,0,0,0,0.5,1,0.0,0.0,0
1,1,0,0,0,1,0,0,0,0,1.0,1,0.0,0.0,0
1,1,0,0,1,1,0,1,1,2,0.590643275,1,100.0,100.0,1
1,1,0,0,0,1,0,0,1,2,0.378378378,1,100.0,100.0,1
1,1,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0
1,1,0,0,1,0,0,1,0,0,0.857142857,1,0.0,0.0,1
1,1,1,1,0,1,0,0,1,1,0.346774194,1,0.0,0.0,1
1,1,0,0,0,1,0,0,1,2,0.253333333,1,100.0,100.0,1
0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0
1,1,0,0,0,0,0,0,0,0,0.543859649,1,100.0,100.0,1
1,1,1,1,1,1,0,1,0,1,0.65625,1,0.0,0.0,1
1,1,1,1,0,0,0,0,1,0,0.5125,1,0.0,0.0,1
1,1,1,1,0,1,0,0,1,1,0.263157895,1,100.0,100.0,1
1,1,1,1,1,0,0,1,1,1,0.153846154,1,100.0,100.0,1
1,1,1,1,0,0,0,0,1,0,0.0,1,0.0,0.0,0
1,1,0,0,0,1,0,0,1,1,0.222641509,1,100.0,100.0,1
1,1,1,1,0,1,0,0,1,0,0.631578947,1,100.0,100.0,1
1,1,0,0,0,0,0,0,0,0,0.5,1,100.0,100.0,0
1,1,0,0,0,1,0,0,0,0,0.0,1,0.0,0.0,0
0,0,1,1,0,1,0,0,0,0,0.0,0,3.225806452,3.225806452,0
1,1,1,1,1,1,0,1,1,2,0.535087719,1,100.0,100.0,1
0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0
1,1,0,0,0,1,0,0,1,0,0.142857143,1,100.0,100.0,1
1,1,0,0,1,1,0,1,1,0,0.516853933,1,100.0,100.0,1
1,1,1,1,0,1,0,0,1,2,0.073852295,1,100.0,100.0,1
1,1,0,0,1,1,0,1,1,2,0.684410646,1,75.0,75.0,1
1,1,0,0,1,1,0,1,1,2,0.489130435,1,100.0,100.0,1
0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0
1,1,1,1,0,1,0,0,1,1,0.54,1,100.0,100.0,1
1,1,1,1,0,1,0,0,1,2,0.274678112,1,0.0,0.0,1
0,0,0,0,0,1,0,0,0,0,1.0,1,77.77777778,77.77777778,0
1,1,0,0,1,0,0,1,1,3,0.507216495,1,100.0,100.0,1
1,1,1,1,0,1,0,0,1,2,0.189655172,1,100.0,100.0,1
1,1,0,0,0,1,0,0,1,1,0.476635514,1,100.0,100.0,1
1,1,0,0,0,1,0,0,1,0,0.310344828,1,100.0,100.0,1
1,1,1,1,0,1,0,0,0,2,0.355932203,1,100.0,100.0,1
0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0,0
1,1,1,1,1,1,0,1,0,1,0.545774648,1,0.0,0.0,1
1,1,1,1,1,1,0,1,1,1,0.515151515,1,0.0,0.0,1
1,1,0,0,0,1,0,0,1,1,0.53125,1,100.0,100.0,1
1,1,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0
1,1,1,1,1,1,0,1,0,0,1.0,1,100.0,100.0,1
0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0
1,1,0,0,0,1,0,0,1,0,1.0,1,100.0,100.0,1
1,1,0,0,0,0,0,0,0,0,1.0,1,0.0,0.0,0
1,1,1,1,0,0,0,0,1,0,0.403508772,1,0.0,0.0,1
0,0,0,0,0,0,0,0,0,0,0.0,1,100.0,100.0,0
1,1,1,1,0,1,0,0,1,3,0.37704918,1,100.0,100.0,1
1,1,0,0,0,1,0,0,1,1,0.036585366,1,100.0,100.0,1
0,0,1,1,0,1,0,0,0,0,0.014705882,1,0.0,0.0,0
1,1,1,1,1,1,0,1,1,2,0.368421053,1,0.0,0.0,1
1,1,1,1,0,1,0,0,1,0,0.105633803,1,100.0,100.0,1
0,0,0,0,0,0,0,0,0,0,0.0,1,100.0,100.0,0
