HasDescription,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfExternalRef,title_has_suspicious_words,title_has_numbers,title_word_count,title_char_count,title_exclamation_count,title_question_count,suspicious_score,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,15,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
1,1,0,1,0,1,1,1,1,49,2,4,111,39,0,0,7,69,0,0,2,1
1,1,0,0,0,0,0,0,1,217,4,10,609,93,0,0,7,38,0,0,2,1
1,0,1,1,0,1,0,0,1,37,10,21,2,7,0,0,1,36,0,0,0,1
0,0,0,0,0,0,0,0,1,14,2,4,2,4,0,0,3,23,0,0,0,1
1,1,0,0,0,0,1,0,1,10,3,6,23,17,0,0,10,60,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,6,51,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,14,0,0,0,0
1,1,0,1,0,1,1,0,1,13,17,29,45,59,0,0,7,57,0,0,1,1
0,0,1,0,1,0,0,0,0,0,5,6,0,2,0,0,7,49,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,55,0,0,0,0
0,1,0,1,1,0,0,0,1,15,29,17,49,13,0,0,5,49,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,14,0,0,0,0
1,1,1,1,1,1,1,0,1,64,69,20,137,23,0,1,1,1,0,0,20,1
1,1,1,0,1,1,1,0,1,85,3,20,93,9,0,1,1,1,0,0,19,1
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,12,0,0,0,0
0,1,0,0,0,0,0,0,1,3,4,8,7,4,0,0,1,5,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,13,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,19,0,0,0,0
1,1,1,1,0,0,1,0,0,2,11,24,266,369,0,0,1,9,0,0,3,1
1,1,1,1,1,0,0,0,1,56,1,18,71,283,0,0,1,15,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,28,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,124,0,1,0,0
1,0,0,0,0,0,0,0,1,1,1,1,21,21,0,0,1,12,0,0,0,1
0,1,1,1,0,0,1,0,1,9,10,20,83,84,0,0,1,11,0,0,2,1
0,1,0,0,0,0,0,0,1,23,1,5,39,12,0,0,1,9,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,1,1,22,0,0,0,0
1,1,1,1,1,1,1,0,1,42,26,53,139,40,0,0,1,9,0,0,23,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0
0,1,1,0,0,1,0,0,0,180,3,7,260,124,0,0,1,10,0,0,10,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
1,1,0,0,0,0,1,0,0,15,4,8,142,91,0,0,1,4,0,0,0,1
1,1,1,1,1,1,1,1,1,3,8,50,403,417,0,0,1,11,0,0,1,1
0,0,1,1,0,0,0,0,0,0,2,0,2,2,0,1,1,20,0,0,0,0
0,0,0,0,0,0,1,0,1,1,1,3,1,10,0,0,1,6,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,17,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
1,1,0,0,0,0,0,0,1,9,6,5,22,11,0,0,1,20,0,0,0,1
1,1,1,1,0,1,0,0,1,49,26,29,268,297,0,0,1,10,0,0,3,1
1,1,0,0,0,0,0,0,0,18,16,19,143,159,0,0,1,2,0,0,1,1
1,1,0,1,0,0,0,0,1,23,2,9,66,67,0,0,1,7,0,0,2,1
1,1,1,1,0,0,0,0,1,31,13,8,34,24,0,0,1,8,0,0,9,1
1,1,0,0,0,0,0,0,1,216,5,10,406,444,0,0,1,10,0,0,9,1
1,1,0,0,0,0,0,0,1,63,5,7,433,442,0,0,1,6,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
1,1,1,1,0,1,0,0,1,39,1,9,347,43,0,0,1,7,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,12,0,0,0,0
1,1,0,0,0,1,0,0,1,65,6,11,71,48,0,0,1,13,0,0,2,1
1,1,1,0,0,0,1,0,1,19,13,29,133,167,0,0,1,18,0,0,2,1
1,0,0,0,0,0,0,0,1,82,6,10,721,726,0,1,1,8,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
1,1,1,0,0,0,0,0,1,25,2,20,81,94,0,0,1,19,0,0,3,1
0,1,1,1,1,1,1,1,1,12,1,16,12,17,0,0,1,11,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
1,1,1,0,0,0,0,0,1,18,27,16,79,12,0,0,1,11,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
1,1,1,1,0,0,1,0,0,27,3,14,89,22,0,0,1,12,0,0,1,1
1,1,1,1,1,1,1,0,1,181,7,49,145,19,0,0,1,4,0,0,22,1
0,0,1,0,0,0,0,0,1,42,7,11,53,54,0,0,1,16,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,20,0,0,0,0
0,1,1,1,0,0,1,0,1,11,2,4,331,11,0,0,1,7,0,0,1,1
0,0,0,1,0,0,0,0,0,13,11,25,25,29,0,0,1,5,0,0,0,1
1,0,0,0,0,0,1,0,0,18,7,20,80,14,0,0,1,8,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,1,42,0,0,0,0
1,0,1,0,0,0,0,0,0,60,1,7,74,20,0,0,1,9,0,0,2,1
1,0,0,1,0,0,0,0,1,39,5,5,41,13,0,0,1,9,0,0,5,1
0,1,1,1,0,0,0,0,1,16,3,25,101,68,0,0,1,13,0,0,4,1
1,1,1,1,0,1,0,0,1,48,9,14,208,212,0,0,1,19,0,0,2,1
1,1,1,0,0,0,0,0,1,63,3,17,5,32,0,0,1,12,0,0,1,1
0,1,0,0,0,0,0,0,1,15,2,10,0,9,0,0,1,23,0,0,3,1
1,0,1,0,1,0,0,0,1,3,1,5,186,5,0,0,1,13,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,29,0,0,0,0
1,1,0,1,0,0,0,0,1,8,1,8,74,6,0,0,1,3,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,32,0,0,0,0
1,1,1,0,0,1,0,1,1,100,4,16,185,275,0,0,1,15,0,0,2,1
1,1,1,1,0,0,1,1,0,15,18,29,203,209,0,0,1,16,0,0,6,1
1,1,1,0,0,0,0,0,1,64,1,2,100,83,0,0,1,10,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,32,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
0,0,0,0,0,0,0,0,0,3,4,14,6,1,0,0,1,5,0,0,1,1
0,1,1,1,0,0,0,0,1,11,4,6,6,29,0,0,1,8,0,0,0,1
1,0,0,0,0,0,0,0,1,1,2,7,8,3,0,0,1,5,0,0,0,1
1,1,1,1,0,0,1,0,1,145,26,19,1,51,0,0,1,19,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,0,0,0,0
1,1,1,1,0,0,1,0,1,22,3,13,89,23,0,0,1,11,0,0,3,1
0,1,1,0,0,0,0,0,1,18,6,15,76,103,0,0,1,7,0,0,2,1
1,0,0,0,0,0,0,0,0,10,1,0,5,8,0,0,1,11,0,0,0,1
1,1,1,1,1,1,1,0,1,221,1,17,140,73,0,0,1,11,0,0,19,1
1,1,0,1,0,0,0,0,1,16,18,48,54,53,0,0,1,14,0,0,0,1
0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,22,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
0,0,1,1,0,0,0,0,1,4,4,2,2,4,0,0,1,7,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,34,0,0,0,0
1,1,0,1,0,0,0,0,1,8,1,3,28,8,0,0,1,15,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
1,0,1,0,0,0,0,0,1,3,1,5,13,7,0,0,1,15,0,0,0,1
1,1,1,0,0,0,0,0,1,30,14,14,106,112,0,0,1,6,0,0,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
1,1,1,1,0,1,1,0,1,46,11,32,47,32,0,0,1,9,0,0,19,1
1,0,1,1,1,0,0,0,1,9,8,11,70,12,0,1,1,5,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
1,1,1,1,0,0,0,0,0,8,8,21,40,22,0,0,1,6,0,0,3,1
0,1,0,0,0,0,0,0,1,45,6,5,66,15,0,0,1,13,0,0,0,1
1,0,0,0,0,0,0,0,1,5,1,5,79,5,0,0,1,19,0,0,2,1
1,1,0,0,0,0,0,0,1,42,1,5,265,101,0,0,1,5,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
1,1,1,0,0,0,0,0,1,82,2,18,300,303,0,1,1,2,0,0,2,1
0,1,0,0,0,0,0,0,1,42,3,11,10,121,0,0,1,6,0,0,1,1
1,1,1,0,0,0,0,0,1,37,9,13,160,162,0,0,1,14,0,0,0,1
1,1,0,0,0,0,0,0,1,3,1,8,11,5,0,0,1,31,0,0,0,1
1,1,0,0,0,1,1,0,1,133,0,2,10,183,0,0,1,11,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,21,0,0,0,0
0,1,1,1,0,0,0,0,1,11,5,22,95,42,0,0,1,20,0,0,2,1
1,0,1,1,1,0,0,0,0,15,8,9,645,21,0,0,1,18,0,0,12,1
0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,1,32,0,0,0,0
0,1,0,0,0,0,0,0,1,14,2,76,74,8,0,0,1,15,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,29,0,0,0,0
1,1,0,0,0,0,0,0,1,1,1,2,42,26,0,0,1,7,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
1,1,1,1,0,0,0,0,1,18,11,14,101,92,0,0,1,5,0,0,2,1
1,0,1,1,0,0,0,0,1,13,4,2,37,9,0,0,1,10,0,0,0,1
1,1,1,0,0,0,0,0,1,31,36,13,42,11,0,0,1,16,0,0,3,1
1,1,0,0,0,0,0,0,1,18,6,11,0,54,0,0,1,12,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,34,0,0,0,0
1,1,1,1,0,0,1,0,1,25,11,25,79,89,0,0,1,5,0,0,3,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
0,1,1,0,0,0,1,0,1,41,16,40,43,15,0,0,1,10,0,0,2,1
1,1,1,0,0,0,0,0,1,63,15,22,212,216,0,0,1,6,0,0,1,1
0,0,1,1,1,0,0,0,0,10,4,5,0,0,1,1,1,59,0,0,0,0
1,1,1,0,0,0,1,0,1,3,2,6,50,62,0,0,1,6,0,0,4,1
1,1,1,1,1,1,1,0,1,21,36,18,80,39,0,0,1,8,0,0,19,1
1,1,1,0,0,0,1,0,1,23,6,18,52,19,0,0,1,12,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
1,1,1,1,1,1,1,0,1,91,4,18,83,18,0,0,1,11,0,0,19,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
1,1,1,1,0,0,1,0,1,22,4,11,47,62,0,0,1,12,0,0,1,1
1,1,1,1,1,1,1,0,1,120,4,19,175,510,0,0,1,23,0,0,20,1
1,1,1,0,1,0,1,0,1,6,13,20,65,43,0,0,1,24,0,0,0,1
0,0,1,1,0,0,0,0,1,4,1,2,7,1,0,0,1,10,0,0,0,1
0,0,1,0,0,0,0,0,1,22,0,1,60,72,0,0,1,5,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
0,1,1,1,1,1,1,0,0,38,22,31,132,108,0,0,1,10,0,0,0,1
1,0,0,0,0,0,0,0,1,4,2,7,2,3,0,0,1,15,0,0,0,1
1,1,1,1,0,0,1,0,1,18,3,30,105,115,0,0,1,16,0,0,3,1
1,1,1,1,0,0,1,0,1,15,2,14,209,8,0,0,1,5,0,0,4,1
0,1,0,0,0,1,1,0,1,438,6,13,719,375,0,0,1,15,0,0,2,1
1,0,0,1,0,0,0,0,1,28,21,24,37,45,0,0,1,7,0,0,0,1
0,1,1,1,0,1,0,0,1,94,2,1,115,8,0,0,1,13,0,0,7,1
0,1,1,1,1,0,0,0,1,44,49,29,56,22,0,0,1,7,0,0,0,1
1,1,1,1,0,0,0,0,1,45,1,20,171,11,0,0,1,16,0,0,0,1
0,1,0,1,0,1,0,0,1,18,5,15,91,29,0,0,1,5,0,0,0,1
1,1,1,0,0,0,0,0,1,50,3,3,172,34,0,0,1,10,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,20,0,0,0,0
0,1,1,0,0,0,1,0,1,38,3,7,105,21,0,0,1,13,0,0,2,1
0,0,1,1,0,0,0,0,1,33,7,18,119,138,0,0,1,18,0,0,3,1
1,1,0,1,0,0,0,0,1,27,11,13,46,55,0,0,1,14,0,0,0,1
1,1,1,1,0,0,0,0,1,72,34,53,161,198,0,0,1,9,0,0,5,1
1,1,1,1,0,1,1,0,1,110,3,4,99,22,0,0,1,15,0,0,2,1
1,1,1,1,1,0,1,0,1,49,8,47,149,144,0,1,1,10,0,0,2,1
1,0,0,0,0,1,0,0,1,3,1,4,1,0,0,0,1,12,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,18,0,0,0,0
1,1,0,0,0,0,0,0,0,8,0,2,1,5,0,0,1,17,0,0,0,1
1,0,0,0,0,1,0,0,1,10,6,11,35,1,0,0,1,9,0,0,0,1
0,1,0,0,0,0,1,0,0,6,1,14,70,12,0,0,1,11,0,0,3,1
1,1,1,1,0,1,1,0,1,34,1,23,761,26,0,0,1,10,0,0,3,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
1,0,0,0,0,0,0,0,0,36,5,8,48,50,0,0,1,11,0,0,0,1
0,1,1,1,0,0,1,0,0,15,14,38,161,176,0,0,1,9,0,0,2,1
1,1,1,0,0,1,0,0,1,2,5,10,2,14,0,0,1,8,0,0,3,1
1,1,1,1,1,0,0,0,0,150,2,8,1016,1015,0,0,1,13,0,0,3,1
1,1,1,1,0,0,0,0,1,11,4,8,94,44,0,0,1,8,0,0,0,1
1,0,0,0,0,0,0,0,1,20,1,4,39,30,0,0,1,13,0,0,0,1
1,1,0,0,0,1,0,0,1,4,1,6,54,59,0,0,1,12,0,0,0,1
1,0,0,0,0,0,0,0,1,1,2,0,207,2,0,0,1,15,0,0,0,1
1,1,1,1,0,0,0,0,1,27,4,9,40,9,0,0,1,12,0,0,2,1
1,0,1,1,0,0,0,0,1,16,3,5,77,79,0,0,1,21,0,0,1,1
1,0,0,0,0,0,1,0,1,18,4,10,52,60,0,0,1,5,0,0,0,1
0,1,0,0,0,0,0,0,0,25,17,27,123,142,0,0,1,14,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,27,0,0,0,0
0,0,1,1,0,0,0,0,0,0,2,0,2,2,0,1,1,59,0,1,0,0
1,1,1,0,1,1,1,0,1,35,22,37,234,18,0,0,1,9,0,0,22,1
1,1,1,1,0,0,1,0,1,13,17,13,92,91,0,0,1,9,0,0,0,1
1,1,0,0,0,1,0,0,1,218,2,5,0,28,0,0,1,8,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
0,1,1,1,0,0,1,0,1,16,13,45,47,22,0,0,1,13,0,0,6,1
1,1,0,0,0,0,0,0,1,9,5,10,20,13,0,0,1,9,0,0,0,1
1,1,0,0,0,1,1,0,1,28,2,9,59,76,0,0,1,15,0,0,2,1
0,1,1,1,0,0,0,0,1,32,9,25,121,138,0,0,1,22,0,0,0,1
1,1,0,1,0,0,0,0,1,14,5,17,72,75,0,0,1,8,0,0,9,1
1,1,1,1,1,0,0,0,1,18,9,14,44,48,0,0,1,11,0,0,0,1
1,1,1,0,0,0,0,0,1,89,3,7,185,26,0,0,1,5,0,0,3,1
1,1,0,1,0,0,1,0,1,0,31,15,62,7,0,0,1,12,0,0,2,1
1,1,1,1,1,0,0,0,1,12,4,14,54,61,0,0,1,12,0,0,1,1
1,1,1,0,0,0,1,0,1,31,22,29,50,63,0,0,1,21,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
0,1,1,1,0,0,0,0,0,2,3,10,33,27,0,0,1,4,0,0,2,1
1,0,0,0,0,0,0,0,1,19,12,15,112,16,0,0,1,4,0,0,0,1
0,1,1,1,0,0,0,0,0,4,2,6,49,6,0,0,1,4,0,0,1,1
1,1,1,0,0,0,0,0,0,14,13,6,45,26,0,0,1,9,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,16,0,0,0,0
1,1,0,0,0,0,1,0,0,17,3,9,1,22,0,0,1,13,0,0,1,1
1,1,1,0,0,0,0,1,1,52,28,24,38,140,0,0,1,5,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
0,1,1,0,0,0,1,0,1,36,9,10,58,87,0,0,1,5,0,0,2,1
1,0,1,1,0,0,0,0,0,20,10,15,157,163,0,0,1,11,0,0,0,1
0,1,1,0,0,0,0,0,1,8,8,12,84,110,0,0,1,14,0,0,3,1
1,1,1,0,0,1,0,0,1,29,4,13,113,120,0,1,1,9,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,17,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,32,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,10,0,0,0,0
1,1,1,1,0,0,0,0,1,14,45,129,170,189,0,0,1,8,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,1,10,0,0,0,0
1,1,1,1,0,0,0,0,1,73,2,5,175,16,0,0,1,13,0,0,3,1
1,0,1,1,0,0,1,0,1,85,12,67,254,59,0,0,1,10,0,0,3,1
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,13,0,0,0,0
1,1,1,1,0,0,0,0,1,40,16,29,127,148,0,0,1,8,0,0,2,1
1,1,1,1,0,1,1,1,1,76,33,34,196,221,0,0,1,8,0,0,2,1
1,1,0,0,0,0,0,0,1,11,5,9,1,16,0,0,1,12,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,57,0,0,0,0
1,1,1,0,0,0,0,0,1,24,0,11,243,227,0,0,1,18,0,0,3,1
1,1,1,1,0,0,0,0,1,122,10,15,214,42,0,0,1,11,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0
1,1,1,1,0,0,0,0,1,87,1,4,324,359,0,0,1,15,0,0,0,1
0,0,1,0,0,0,1,0,1,4,6,7,35,43,0,0,1,11,0,0,0,1
1,1,1,1,0,1,1,0,1,52,41,44,153,157,0,0,1,8,0,0,13,1
1,1,1,1,0,0,0,0,1,14,26,41,109,127,0,0,1,4,0,0,0,1
0,1,1,0,0,0,1,0,1,38,12,19,183,187,0,0,1,11,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
0,1,0,0,0,0,0,0,1,10,6,17,28,42,0,0,1,6,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0
1,1,1,1,0,0,0,0,1,53,10,11,276,39,0,0,1,13,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,12,0,0,0,0
0,1,1,1,0,0,0,0,1,35,20,27,59,80,0,0,1,9,0,0,3,1
1,0,0,0,0,0,0,0,0,1,1,2,0,5,0,0,1,8,0,0,0,0
1,1,0,1,0,0,1,0,0,26,8,10,47,10,0,0,1,22,0,0,3,1
1,1,1,1,1,1,1,0,1,77,4,51,103,24,0,0,1,13,0,0,20,1
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,13,0,0,0,0
1,1,1,1,0,0,0,0,1,7,2,7,55,14,0,0,1,6,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
1,0,1,1,0,0,0,0,1,11,5,15,63,11,0,0,1,17,0,0,0,1
1,0,0,0,0,0,0,0,1,16,8,11,20,14,0,0,1,17,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,3,1,154,0,0,1,16,0,0,1,1
1,1,0,0,0,0,0,0,1,4,2,5,5,30,0,0,1,9,0,0,0,1
1,0,1,1,0,0,0,0,1,1,11,19,90,10,0,0,1,15,0,0,1,1
0,1,1,1,1,0,1,1,1,78,10,31,494,91,0,0,1,11,0,0,3,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,1,0,0,1,0
1,0,1,0,1,1,1,0,1,52,6,15,105,32,0,0,1,12,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,1,11,7,5,17,4,0,0,1,14,0,0,0,1
1,1,0,0,0,0,1,0,1,166,1,13,418,128,0,0,1,6,0,0,6,1
1,0,0,0,0,0,1,0,0,5,1,10,19,11,0,0,1,11,0,0,2,1
0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,1,8,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
1,1,1,1,0,0,1,0,1,34,6,20,89,110,0,0,1,14,0,0,3,1
0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,13,0,0,0,0
1,1,1,1,0,0,1,0,1,4,6,13,375,420,0,0,1,7,0,0,1,1
1,1,1,1,1,1,1,0,1,7,3,23,84,8,0,0,1,17,0,0,19,1
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,7,0,0,0,0
0,0,1,1,1,0,0,0,0,0,6,1,0,4,0,1,1,72,0,0,0,0
1,0,0,0,0,0,1,0,0,53,11,14,85,74,0,0,1,4,0,0,0,1
1,0,0,0,0,0,0,0,1,17,6,4,14,22,0,0,1,5,0,0,0,1
1,1,1,1,0,0,0,0,1,35,12,20,107,21,0,0,1,10,0,0,2,1
1,1,1,1,0,0,1,0,0,35,20,39,129,12,0,1,1,15,0,0,0,1
1,1,1,1,0,0,1,0,1,17,18,33,84,89,0,0,1,22,0,0,0,1
0,1,1,0,0,1,1,0,0,42,3,9,17,19,0,0,1,5,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,23,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
1,1,0,1,0,0,0,0,1,66,3,4,320,29,0,0,1,10,0,0,0,1
